Color;VehicleModel;VehicleDesc;ModelYear;VehicleType;DateStolen;Location
Silver;Trailer;COMPASS D105;2015;Trailer;18/10/21;Wanaka
Silver;Trailer;DOMESTIC TRAILER;2015;Trailer;16/03/22;Wakatipu L.
White;Trailer;TANK;1998;Trailer - Heavy;18/01/22;Bay of Plenty
Silver;Audi;ALLROAD;2015;Stationwagon;03/04/22;Wellington
Silver;Trailer;ELITE 8X4;2015;Trailer;04/01/22;Canterbury Bight
Silver;Vespa;PIAGGIO;2001;Roadbike;06/12/21;Auckland
Silver;Trailer;HELMACK 8X5;2015;Trailer;19/01/22;Canterbury Bight
Yellow;Trailer;LOCAL;1984;Trailer;21/03/22;Auckland
Silver;Trailer;SINGLE AXLE;2015;Trailer;01/03/22;Wakatipu L.
Silver;Trailer;BOAT;2008;Boat Trailer;22/02/22;Bay of Plenty
Blue;Trailer;HOMEBUILT;1990;Trailer;20/01/22;Bay of Plenty
Silver;Trailer;PRESCOTT;2000;Trailer;08/03/22;Bay of Plenty
Silver;Homebuilt;TRAILER;1996;Trailer;24/03/22;Auckland
Silver;Trailer;COMPASS-C85;2018;Trailer;18/03/22;Auckland
Silver;Titan;DOMESTIC TRAILER;2018;Trailer;28/12/21;Manukau
Silver;Custombuilt;TANDEM;1985;Trailer;13/01/22;Manukau
Red;Honda;VT;2005;Roadbike;19/03/22;Manukau
Blue;Honda;CBR;2000;Roadbike;31/01/22;Canterbury Bight
Black;Trailer;HOMEBUILT;2022;Trailer;14/02/22;Manukau
Grey;Trailer;JETSKI ACTION LAB;2021;Boat Trailer;30/12/21;Wakatipu L.
Silver;Trailer;HOMEBUILT;2000;Trailer;29/01/22;Carterton
Black;Homebuilt;TRAILER;2022;Trailer;12/03/22;Bay of Plenty
White;Trailer;MARTIN ENGINEERING;1998;Trailer;28/03/22;Manukau
Silver;Trailer;TUFF;2018;Trailer;22/11/21;Bay of Plenty
Brown;Trailer;LOCAL;1977;Trailer;03/12/21;Bay of Plenty
Silver;Trailer;8X4 TRAYLA;2018;Trailer - Heavy;01/02/22;Carterton
Blue;Trailer;HOMEMADE;1980;Trailer;20/03/22;Tasman B.
White;Trailer;NYMIC;2018;Trailer - Heavy;03/04/22;Canterbury Bight
Silver;Trailer;TRAILER;2022;Trailer;09/02/22;Auckland
Grey;Trailer;TANDEM;2019;Trailer;23/02/22;Wellington
Silver;Trailer;COMPASS-D116K;2022;Trailer;15/03/22;Carterton
Red;Harley Davidson;FXSTDI;2004;Roadbike;16/01/22;Manukau
Grey;Trailer;LOCAL;1967;Trailer;19/10/21;Canterbury Bight
White;Caravan;SWIFT CHARISMA 230;2006;Caravan;27/02/22;Wanaka
Silver;Trailer;TANK;2018;Trailer;29/03/22;Canterbury Bight
Red;Massey;FERGUSSON;2007;Tractor;23/01/22;Wakatipu L.
Silver;Trailer;BST85;2022;Trailer;15/03/22;Wellington
Black;Suzuki;LS650P;2003;Roadbike;03/12/21;Northland
Black;Trojan;JET SKI;2022;Boat Trailer;19/03/22;Wanaka
Silver;Trailer;VULCAN;2022;Trailer;04/03/22;Manukau
Brown;Oxford;;1971;Caravan;20/12/21;Wanaka
Grey;Homebuilt;EZ LOADER STABI CRAF;1989;Boat Trailer;12/10/21;Canterbury Bight
Silver;Trailer;MCLAY;2017;Boat Trailer;19/03/22;Eastbourne
Silver;Trailer;ENSOL TANKER;2019;Trailer;28/02/22;Carterton
Red;Kawasaki;EX;2008;Roadbike;02/04/22;Manukau
Red;Moped;HYOSUNG SB49M;2008;Moped;29/01/22;Manukau
Grey;Trailer;BRIFORD;1996;Trailer;13/03/22;Canterbury Bight
Silver;Trailer;REID;2000;Boat Trailer;03/02/22;Auckland
